Competency Code,Competency Description,Worker Competency,Supervisor Competency,Competencies,Knowledge / Skill Statement
1s,Demonstrates the capacity to recognize and respond to secondary trauma in agency caseworkers. (K),NA,Supportive Supervision,Supportive Supervision,Knowledge
1t,Understands the skill set needed and can provide support (including referral for services) to staff experiencing secondary trauma and promote agency-wide understanding of the effects of secondary trauma. (K&S),NA,Supportive Supervision,Supportive Supervision,Knowledge & Skills
1u,Finds creative and effective ways to advocate for clients and staff. (K&S),NA,Supportive Supervision,Supportive Supervision,Knowledge & Skills
1v,Understands how to conduct trauma screenings with children served through the county social services agency. (K),NA,Supportive Supervision,Supportive Supervision,Knowledge
1w,"Discerns the strengths, needs, challenges, and feelings of others and offers appropriate support to colleagues/supervisees. (K&S)",NA,Supportive Supervision,Supportive Supervision,Knowledge & Skills
1x,"Understands and clarifies roles and responsibilities of participants in the child welfare system, including tribal agencies. (K&S)",NA,Administrative Supervision,Administrative Supervision,Knowledge & Skills
1y,Applies SSIS Charting and Analysis to assess their agency’s performance on federal child safety and permanency measures. (K&S),NA,Administrative Supervision,Administrative Supervision,Knowledge & Skills
1z,"Demonstrates ability to effectively manage case assignments, case coverage and service delivery to clients via direct caseworker supervision. (S)",NA,Administrative Supervision,Administrative Supervision,Skill
1aa,"Plans, schedules, and directs the work of self and others. (S)",NA,Administrative Supervision,Administrative Supervision,Skill
1bb,Demonstrates ability to structure supervisory conferences (individual and group) to review and document casework activities and caseworker performance. (S),NA,Administrative Supervision,Administrative Supervision,Skill
1cc,Organizes material or activities to accomplish tasks efficiently. (S),NA,Administrative Supervision,Administrative Supervision,Skill
1dd,Understands how to use SSIS data in individual and/or group supervision to identify child safety and permanency priorities. (K&S),NA,Administrative Supervision,Administrative Supervision,Knowledge & Skills
1ee,Demonstrates knowledge regarding organization and management development theory; the role of power and authority; the operation of effective organizations and the dynamics of organization change. (K),NA,Administrative Supervision,Administrative Supervision,Knowledge
1ff,"Understands how to use SSIS reports to evaluate staff, unit and agency performance. (S)",NA,Administrative Supervision,Administrative Supervision,Skill
1gg,Understands how to access SSIS General Child Safety and Permanency reports. (K&S),NA,Administrative Supervision,Administrative Supervision,Knowledge & Skills
2a,"Identifies and understands available resources, and builds and maintains effective working relationships with a network of systems, including tribes. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2b,"Understands and appreciates the different views, expertise and experience of others; understands the perspectives and limitations of other individuals and systems. (K)",NA,Human Resource Management,Human Resource Management,Knowledge
2c,Participates constructively on inter- and intra-agency work groups and activities to clarify and improve system and program functioning and service delivery. (S),NA,Human Resource Management,Human Resource Management,Skill
2d,Balances task requirements and individual abilities (matching people and staff; performance assignments). (S),NA,Human Resource Management,Human Resource Management,Skill
2e,Demonstrates the ability to organize materials or activities in order to accomplish tasks efficiently. (S),NA,Human Resource Management,Human Resource Management,Skill
2f,Sets challenging yet achievable goals for self and others. (S),NA,Human Resource Management,Human Resource Management,Skill
2g,Sets work schedules and caseload/workload standards that promote the effective and efficient use of staff and delivery of service. (S),NA,Human Resource Management,Human Resource Management,Skill
2h,"Demonstrates knowledge of, and can access personnel laws, rules, regulations and the union contract. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2i,"Demonstrates knowledge of, and can access Affirmative Action guidelines and Civil Service requirements. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2j,"Shows the ability to manage, as appropriate, the hiring, selection, and termination process. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2k,"Shows the ability to manage the employee appraisal process, to use competencies in performance planning, and to assess employee performance. (K&S)",NA,Human Resource Management,Human Resource Management,Knowledge & Skills
2l,Demonstrates the ability to identify employee performance problems and apply principles of progressive discipline. (S),NA,Human Resource Management,Human Resource Management,Skill
3a,Relates effectively with all levels of administration inside and outside the organization. (S),NA,Program Administration,Program Administration,Skill
3b,Demonstrates knowledge of ways to develop effective collaborations both inside and outside the organization. (S),NA,Program Administration,Program Administration,Skill
3c,"Demonstrates understanding of current issues that affect the organization, and consequent practice with families including disproportionality. (K)",NA,Program Administration,Program Administration,Knowledge
3d,"Understands relevant agency history and historical trauma implications for practice, organizational theory appropriate to human services, values and ethical considerations. (K)",NA,Program Administration,Program Administration,Knowledge
3e,"Demonstrates general knowledge of the concepts of strategic, operational and long- range planning. (K&S)",NA,Program Administration,Program Administration,Knowledge & Skills
3f,Demonstrates knowledge of the mission of the agency and its role in the child and family service system. (K),NA,Program Administration,Program Administration,Knowledge
3g,Demonstrates a general understanding of budgeting techniques and procedure for operating within a planned budget. (K&S),NA,Program Administration,Program Administration,Knowledge & Skills
4a,"Communicates a clear vision, motivation and commitment to the safety and well- being of children. (S)",NA,Team Leadership,Team Leadership,Skill
4b,Engages with others in team process to solve problems. (S),NA,Team Leadership,Team Leadership,Skill
4c,Works with others to find a win/win resolution of differences whenever possible. (S),NA,Team Leadership,Team Leadership,Skill
4d,Shows awareness of how management style impacts staff productivity and development. (K),NA,Team Leadership,Team Leadership,Knowledge
4e,Modifies leadership style to meet situational requirements. (K&S),NA,Team Leadership,Team Leadership,Knowledge & Skills
4f,Manages multiple or ambiguous directives while staying focused on major goals. (S),NA,Team Leadership,Team Leadership,Skill
4g,Uses knowledge of the system to identify long-term problems and opportunities. (K&S),NA,Team Leadership,Team Leadership,Knowledge & Skills
4h,"Solicits data, information, ideas, and opinions from relevant sources for specific decisions and plans. (S)",NA,Team Leadership,Team Leadership,Skill
4i,"Remains informed and up-to-date about activities, sharing all relevant or useful information that affects the group. (K&S)",NA,Team Leadership,Team Leadership,Knowledge & Skills
4j,Demonstrates the group process skills needed for diverse groups to work together effectively to achieve a common goal. (K&S),NA,Team Leadership,Team Leadership,Knowledge & Skills
4k,"Recognizes the complexities inherent in conflict, including aspects of direct child welfare practice, and proactively engages others in conflict resolution. (K&S)",NA,Team Leadership,Team Leadership,Knowledge & Skills
4l,"Understands the concepts of team development, facilitation of effective meetings, and conflict management. (K)",NA,Team Leadership,Team Leadership,Knowledge
5a,Recognizes and values alternative viewpoints. (K&S),NA,Organizational Leadership,Organizational Leadership,Knowledge & Skills
5b,"Adjusts communication, behavior and approach to a situation or to the agency’s larger objective. (S)",NA,Organizational Leadership,Organizational Leadership,Skill
5c,Utilizes theoretical frameworks and incorporates past experience to guide analysis and practice. (K&S),NA,Organizational Leadership,Organizational Leadership,Knowledge & Skills
