Competency Code,Competency Description,Worker Competency,Supervisor Competency,Competencies,Knowledge / Skill Statement
6g,"Demonstrates an understanding of the complexity of a child’s ties with foster, adoptive, biological and extended families as well as tribal community, and interaction with his/her community. (K&S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge & Skills
6h,"Demonstrates how to plan for and initiate closing of professional relationships with children and families, prioritizing developmentally appropriate transitions with adequate resources to optimize outcomes. (S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6i,"Understands the importance of actively pursuing and maintaining sibling bonds (with siblings in placement and/or at home), the relational worldview and connection to extended family and tribe, and demonstrates the ability to do so. (K&S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge & Skills
6j,Demonstrates the ability to recognize abuse occurring in out-of-home placements and to take corrective action and follow through with reports and licensing issues in order to protect children. (S),Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6k,Uses understanding of the dynamics and effects of trauma to continuously evaluate and adjust intervention strategies and case plan goals. (K&S),Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge & Skills
6l,"Applies understanding of the structure of the child welfare system (child protection, foster care, kinship, adoption, family assessment, tribal sovereignty) to guide children and families to the most appropriate resources for achieving their goals. (S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6m,Demonstrates the ability to work with adolescents in out-of-home placements and to advocate for permanency options and to guide them through the transition to adult life in the community. (S),Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6n,Supports children and adolescents to identify and develop the skills to relate to their family of origin around the issues that led to removal from the home using developmentally appropriate strategies and resources. (S),Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6o,"Demonstrates advanced skills in problem solving and issues analysis in areas such as: maltreatment reporting and assessment, service delivery, conflicts in placements, CHIPS and TPR proceedings, orders for protection and cases involving ICWA. (S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6p,"Understands the basic principles of county, tribal and community agency contracting for the purchase of child welfare services and how to appropriately utilize these contracts for the benefit of children and families. (K)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge
6q,Demonstrates the ability to negotiate and advocate for the development of resources (including tribal resources and tribal agencies) that children and families need to meet personal goals and that child welfare and tribal agencies need to meet programmatic goals. (S),Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6r,"Understands the basic principles of mediation, tribally based practices and restorative justice practices, and how they can be implemented in a case plan to assist families in achieving their goals. (K)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge
6s,"Understands the importance of assessing the needs of adoptive parents/families and connecting them with appropriate aftercare services, including tribal services. (K)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge
6t,"Assesses and supports the ongoing and unique service needs for foster parents and kinship providers, including tribal services. (S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
7a,Demonstrates the ability to employ active and reflective listening skills to promote clear communication and develop trust with children and families. (K&S),Communication,NA,Communication,Knowledge & Skills
7b,"Demonstrates an ability to employ clear, concise, ethical and factual writing skills with attention to structure, grammar and spelling, including the ability to accurately, concisely, ethically and objectively document a variety of assessment content, case notes, and court narratives. (S)",Communication,NA,Communication,Skill
7c,"Understands the importance of and is able to modify written forms of communication based upon a child or caregiver’s cognitive ability, literacy level, and use of their primary language and understanding of the English language. (K&S)",Communication,NA,Communication,Knowledge & Skills
7d,Understands and is able to apply data privacy laws and policies to the handling of sensitive data on children and families in the child welfare system. (K&S),Communication,NA,Communication,Knowledge & Skills
7e,"Demonstrates the ability to communicate effectively with tribes, recognizing tribal sovereignty and governance. (K&S)",Communication,NA,Communication,Knowledge & Skills
7f,Understands the unique communication styles and issues that impact effective work with tribes and tribal families. (K),Communication,NA,Communication,Knowledge
7g,Demonstrates the ability to use different methods of documentation to communicate assessment information. (S),Communication,NA,Communication,Skill
7h,Understands the basic premise of working with a translator as a means of primary communication with a child and family. (K),Communication,NA,Communication,Knowledge
7i,Understands the impact of the media on the field of child welfare as well as on those professionals working within the field. (K),Communication,NA,Communication,Knowledge
8a,"Demonstrates a commitment to evaluating his/her own social work/child welfare practice, including practices related to ICWA awwnd MIFPA. (S)",Evaluation,NA,Evaluation,Skill
8b,"Understands the purpose of outcome measurement and is able to seek family, organization, tribal, and community feedback for purposes of monitoring practice, service refinement and outcome evaluation. (K&S)",Evaluation,NA,Evaluation,Knowledge & Skills
8c,"Communicates the underlying principles and effectiveness of her/his practice to families, colleagues, employers, etc. (S)",Evaluation,NA,Evaluation,Skill
8d,"Understands the role of external review and accrediting bodies including the federal government/Children’s Bureau, Council on Accreditation, citizen review panels and the child mortality reviews. (K)",Evaluation,NA,Evaluation,Knowledge
8e,"Understands the criteria used to evaluate state and county child welfare agency performance in federal reviews as it relates to child, family and program outcomes. resources identified (K)",Evaluation,NA,Evaluation,Knowledge
8f,Understands the importance of evaluating his/her own professional education and training needs. (K),Evaluation,NA,Evaluation,Knowledge
8g,Re-evaluates progress outcomes and considers potential contributing factors when goals are not being achieved without sole focus placed upon the youth or family. (S),Evaluation,NA,Evaluation,Skill
8h,"Understands practice accountability and the variety of ways in which agency and individual practice can be evaluated, including trauma-informed practice and cultural responsiveness. (K)",Evaluation,NA,Evaluation,Knowledge
8i,"Understands how to use information, technology, and evidence-based research to advocate, evaluate and improve policy, practice and program effectiveness. (K)",Evaluation,NA,Evaluation,Knowledge
9a,Identifies agency and legislative policies and procedures that may negatively affect individual or group child well-being and the success of permanency and family reunification. (K),Advocacy,NA,Advocacy,Knowledge
9b,Advocates for active efforts to reunite families and return children whenever possible. (S),Advocacy,NA,Advocacy,Skill
9c,"Understands negotiation and advocacy for the development and retention of resources that children, youth, and families need to meet personal goals and agencies need to meet administrative goals. (K)",Advocacy,NA,Advocacy,Knowledge
9d,"Identifies the strengths and limitations of an organization, including its cultural competence and commitment to human diversity, and can assess the effects of these factors on services for children, youth, and families. (K&S)",Advocacy,NA,Advocacy,Knowledge & Skills
9e,"Communicates clearly, concisely and objectively to decision-makers the recognized and documented needs of individuals and groups. (S)",Advocacy,NA,Advocacy,Skill
9f,"Identifies individual or group needs and provides the appropriate intervention on behalf of a child, youth, caregiver or family system. (K)",Advocacy,NA,Advocacy,Knowledge
9g,"Demonstrates the ability to apply coalition-building strategies across diverse communities and providers in order to identify and achieve enhanced and culturally competent services, resources or entitlements for children and families. (S)",Advocacy,NA,Advocacy,Skill
10a,"Demonstrates basic knowledge of the philosophy, purpose, requirements, and policies that affect application of the major federal, state, and local social policies affecting children, youth, and families in the child welfare system, including ICWA, MEPA, Title IV-B, Title IV-E, CAPTA, CFSR, MIFPA, BIA regulations, ASFA, PSSF, TANF, WIA, Chafee, and Fostering Connections. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
10b,"Demonstrates an understanding of the legal framework for child welfare practice, including the Juvenile Court process and other court proceedings related to child welfare practice, including tribal courts. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
10c,"Identifies resources for policy information, interpretation and analysis and demonstrates a willingness to seek clarification when uncertain on policy guidance and/or legal requirements. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
10d,"Demonstrates knowledge of the philosophy, purpose, requirements, and application of the major federal, state, and local disability policies affecting children, youth and families in the child welfare system, including ADA, Title II and IDEA. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
10e,"Demonstrates basic knowledge of various federal, state, and local child welfare funding sources and their influence on agency policy, objectives and service delivery. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
10f,"Understands how political activities and regulatory, legislative, and judicial processes at local, state, and national levels influence agency policies, procedures and programs. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
10g,"Analyzes and evaluates agency and legislative child welfare policies procedures, describes the interrelationship of practice and policy and identifies the impact of specific policies on children and families. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
10h,"Recognizes tribal sovereignty in implementing policies that affect American Indian children, and the importance of ongoing meaningful tribal consultation. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
10i,Understands substantive legal issues affecting social workers and the families they work with in the child welfare system and demonstrates the necessary skills for effective participation in the legal system. (K&S),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
11a,"Understands how organizational structure, climate, and culture affect service importance of effectiveness, worker productivity and morale. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11b,"Understands the important role of and use of supervision in social work in providing support, knowledge, and growth as well as monitoring and appraisal of work, workloads, standards and performance, and in case consultation. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11c,"Understands and can utilize educational, supportive, reflective and administrative techniques of supervision. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
11d,Understands the dynamics of staff groups and the supervisor’s role in group process and the support of competent practice. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11e,"Understands and can address issues of difference and the effects of culture, religion, race, age, disability, sexual orientation and gender in the supervisory process. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11f,Understands the ethical and legal obligations of social work supervision. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11g,Understands and can use the principles of adult learning and the parallel process in supervision and consultation activities. (K&S),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
11h,"Understands the use of self in supervision, including the nature and use of power and authority, self-management of time, stress and role/boundary issues. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11i,Understands and demonstrates ways to use data to inform supervision and guide efforts across practice in areas including but not limited to disproportionalities and disparities. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11j,Understands the principles of risk management as well as the use of appreciative inquiry to establish and communicate successful policies and practices. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11k,Understands the roles/responsibilities of a leader/manager to plan and develop systems that enhance staff diversity and alleviate racial and ethnic disproportionality in the child welfare service population. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
11l,"Understands how leaders/managers use the collaborative process for the purpose of planning, formulating policy and implementing services. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
12a,Understands the importance of the use of supervision and consultation in child welfare practice and actively seeks feedback and consultation from supervisors and experienced colleagues. (K&S),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
12b,"Demonstrates an ability to establish appropriate boundaries with children, families and colleagues, taking cultural norms into consideration. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
12c,Demonstrates the ability to work with colleagues from a wide array of personal and professional backgrounds in a respectful and productive manner. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
12d,"Understands how professional social work values, the NASW’s Code of Ethics, and Minnesota Board of Social Work’s Standards of Practice and Ethical Conduct influence decision making and planning in public child welfare practice. (K)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
12e,"Uses critical thinking skills to problem solve throughout all areas of practice (engagement, assessment, planning, communicating, etc.). (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
12f,Identifies and analyzes ethical issues that arise in the course of practice in social work. (K&S),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
12g,Understands and distinguishes among personal and professional values and ethics and considers possible courses of action to pursue when they conflict. (K & S),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
12h,Understands mandated reporting laws and his/her role as a mandated reporter of child abuse and/or neglect. (K),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
12i,Understands and is able to apply data privacy laws and policies to the handing of sensitive data on children and families in the child welfare system. (K&S),Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
12j,"Understands the concepts of vicarious and secondary trauma as well as personal and cultural traumas and their potential impact on personal health and professional practice, and has developed healthy coping methods and self-care strategies to address these issues. (K&S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge & Skills
12k,Identifies potential risks to worker safety and can create a plan to increase individual safety in the field. (S),Cultural Responsiveness,NA,Cultural Responsiveness,Skill
12l,"Demonstrates the ability to present, both orally and in writing, a logical, ethically sound, culturally relevant argument for the resolution of ethical dilemmas or issues relevant to social work practice in the child welfare system. (S)",Cultural Responsiveness,NA,Cultural Responsiveness,Skill
12m,"Identifies areas of professional growth, develops a professional development plan to increase knowledge and skill in areas of interest and needed growth, and advocates for the resources to reach professional development goals. (K & S)",Cultural Responsiveness,NA,Cultural Responsiveness,Knowledge
1a,"Understands and can model and teach necessary elements of assessment, decision making, case planning, and case process to staff. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1b,"Understands and values diversity and different styles of perceiving, learning, communicating, and operating. (K)",NA,Educative Supervision,Educative Supervision,Knowledge
1c,Understands factors that motivate performance and can use this information to assist staff performance improvement. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1d,Demonstrates an understanding of the principles of adult learning. (K),NA,Educative Supervision,Educative Supervision,Knowledge
1e,"Creates a learning climate in which the development and maintenance of competencies, professional judgment and sound decision making in supervisees takes place through clear, sympathetic supervisory direction and assists staff to transfer knowledge and skills learned through in-service training to their jobs. (S)",NA,Educative Supervision,Educative Supervision,Skill
1f,"Keeps abreast of research data, including disparities and disproportionality, and ICWA practice data and informs staff of ongoing changes in best practices child welfare. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1g,"Knows and can apply relevant federal and state statutes, including MEPA, IEPA, MIFPA, ICWA and BIA Guidelines, rules, policies, procedures and current practice standards related to casework. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1h,"Demonstrates familiarity with, and is able to access, or advocate for access to, childhood trauma treatment-specific resources. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1i,"Demonstrates the capacity to communicate a plan to agency caseworkers for screening children for trauma, including historical trauma. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1j,"Understands the vision of the Minnesota practice model itself, why it was developed, and how statewide leadership envisions the practice model as a tool to support practice and improve performance and outcomes. (K)",NA,Educative Supervision,Educative Supervision,Knowledge
1k,Understands how to apply the values and principles within the practice model to actual casework efforts and challenges and use the materials to support improved practices through supervision. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1l,"Understands how the skills listed within the practice model support positive outcomes for children, youth, and families and is capable of assessing their staff in terms of these skills. (K&S)",NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1m,"Understands the value of supporting expression, and can recognize emotion-laden issues or situations and handle them with sensitivity. (S)",NA,Educative Supervision,Educative Supervision,Skill
1n,Uses listening and observation to anticipate and prepare for others’ reactions. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
1o,"Understands how staff members’ attitudes, needs, behaviors, personal preferences, work style, beliefs, gender, and cultural backgrounds may influence perceptions and performance. (K)",NA,Educative Supervision,Educative Supervision,Knowledge
1p,Recognizes when a worker’s emotional responses and/or judgment interfere with the casework process and can empower the worker to identify and examine these reactions. (K&S),NA,Educative Supervision,Educative Supervision,Knowledge & Skills
